	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		Forward	merged	reverse	All	forward	merged	reverse	unmerged	All
143	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;Hymenobacter sp.	23.0	0.0	0.0	23.0	7.0	0.0	0.0	0.0	7.0
144	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Siccationidurans;Siccationidurans antarcticus	177.0	0.0	0.0	177.0	0.0	0.0	0.0	0.0	0.0
145	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	2.0	0.0	0.0	2.0	7.0	0.0	0.0	5.0	12.0
146	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	5.0	0.0	0.0	5.0	7.0	0.0	0.0	7.0	14.0
147	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium	2.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	5.0
148	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	11.0	0.0	0.0	11.0	8.0	0.0	0.0	39.0	47.0
149	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae	11.0	0.0	0.0	11.0	9.0	0.0	0.0	0.0	9.0
150	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	8.0	0.0	0.0	8.0	21.0	0.0	0.0	9.0	30.0
151	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter gynuensis	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
152	Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;Mucilaginibacter sp.	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
